amfi_code,CAGR_1Y,CAGR_3Y,CAGR_5Y,Sharpe_Ratio,Alpha,Beta,Max_Drawdown,Drawdown_Start_Date,Drawdown_End_Date,scheme_name,fund_house,category,sub_category,plan,expense_ratio_pct,Return_Score,Sharpe_Score,Alpha_Score,Expense_Score,Drawdown_Score,Fund_Score,Fund_Rank
148567,0.2037595706234765,0.33991970400445304,,1.4625040290030797,0.2698375144191807,0.023683558075848637,-0.11265729075028275,2023-07-11,2023-10-20,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Large Cap,Regular,1.46,97.5,100.0,85.0,45.0,82.5,86.25,1
120505,0.29627681171526876,0.3176924285223732,,1.1905585963067509,0.2926358334175106,0.0005490042506317072,-0.18188513572116294,2024-10-24,2025-01-23,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Mid Cap,Regular,1.36,90.0,90.0,95.0,65.0,40.0,82.25,2
120843,0.2667758391882715,0.2957511058901836,,1.3194419817117222,0.27330465038306057,-0.02282956979242655,-0.1297396816518679,2022-03-07,2022-04-13,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Flexi Cap,Regular,1.45,85.0,97.5,90.0,47.5,70.0,82.0,3
100033,0.5327719549540499,0.3243397122906222,,1.1043517629506807,0.2719535450128533,0.005103525830528319,-0.16217208574644848,2022-03-11,2022-05-12,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Mid Cap,Regular,1.38,92.5,85.0,87.5,57.49999999999999,52.5,80.38,4
120504,0.13073788394478303,0.32478927222623,,1.0405688566490547,0.2119482701352573,0.016232169761416997,-0.12588275606922517,2022-10-04,2023-05-30,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Large Cap,Direct,0.8,95.0,77.5,70.0,72.5,72.5,80.0,5
119094,0.22277897154308546,0.35102527889035406,,1.0086257891314472,0.2607666908004223,-0.0662654286280376,-0.20960883862039192,2022-04-14,2022-08-11,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Mid Cap,Regular,1.38,100.0,75.0,80.0,57.49999999999999,32.5,76.62,6
119551,0.6048929711840034,0.3044861306002782,,1.222947214685128,0.23201007160635082,-0.031751441138909736,-0.1501238549864533,2023-08-24,2024-02-05,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Large Cap,Regular,1.54,87.5,92.5,77.5,25.0,60.0,74.62,7
148569,0.3978380253854239,0.2917135767741186,,1.2463441409620544,0.2827036785246582,0.018133884083859235,-0.1639674294693263,2023-08-10,2023-10-20,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,ELSS,Regular,1.6,82.5,95.0,92.5,10.0,50.0,73.5,8
101206,0.4796379447633372,0.28960211096593724,,1.0410608155745147,0.21399784776051212,0.021086316250128037,-0.11291596329323073,2023-04-24,2023-07-05,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Large Cap,Regular,1.6,80.0,80.0,72.5,10.0,80.0,68.0,9
119598,0.8285157468100046,0.2666309129954312,,0.9533324621776285,0.3033696538698332,-0.023196062044059704,-0.2870600572176455,2024-08-28,2025-05-14,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Small Cap,Regular,1.43,72.5,67.5,100.0,50.0,12.5,67.38,10
149323,0.21497414349538224,0.26863103668817145,,1.1434895599140866,0.26598577542043045,-0.0025230046646992775,-0.17248105753451382,2022-06-06,2022-10-24,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Mid Cap,Regular,1.61,75.0,87.5,82.5,7.5,47.5,66.75,11
149324,0.6519546577826334,0.2699350260734621,,0.9579170598994393,0.3005787817097677,0.011455159960520695,-0.31171900300634214,2024-05-03,2025-01-03,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Small Cap,Regular,1.52,77.5,70.0,97.5,35.0,10.0,66.5,12
118632,0.340078958236512,0.22646647456747715,,1.0959175992660917,0.21829397904608644,-0.008353832126962014,-0.17414075086657232,2024-01-02,2024-07-19,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Large Cap,Regular,1.51,67.5,82.5,75.0,40.0,45.0,66.38,13
119552,0.057101178520777784,0.16263375081360643,,0.9677516848309498,0.1986859936686296,-0.026159307513513426,-0.11803493502764295,2024-05-21,2024-09-02,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Large Cap,Direct,0.66,45.0,72.5,65.0,92.5,75.0,66.0,14
